Hora,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),temp,pressure,humidity,wind_speed,clouds_all,weather_description,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation
2,0.251,0.0,0.0,None,15.13,1008,93,4.39,100,1,0.0,0.0,0.0,0.0,0.0
3,0.253,0.0,0.0,None,15.72,1008,93,3.76,100,5,0.0,0.0,0.0,0.0,0.0
4,0.249,0.0,0.0,None,16.21,1008,93,2.94,100,5,0.0,0.0,0.0,0.0,0.0
5,0.241,0.0,0.0,None,15.63,1008,93,2.21,100,5,0.0,0.0,0.0,0.0,0.0
6,0.242,0.0,0.0,None,14.59,1008,93,1.86,100,5,0.0,0.0,0.0,0.0,0.0
7,0.302,0.0,0.0,None,14.53,1009,94,1.46,100,6,0.0,0.0,0.0,0.0,0.0
8,0.554,0.0,0.011,None,14.57,1009,94,1.28,100,5,13.0,0.0,13.0,0.0,101.7
9,0.143,0.0,0.111,None,14.63,1010,93,1.63,100,6,95.0,5.0,90.0,20.8,333.3
10,0.19,0.0,0.14,Low,14.63,1010,93,1.74,100,6,166.0,15.0,151.0,39.1,532.3
11,0.203,0.0,0.179,Low,14.65,1010,93,2.83,100,5,148.0,11.0,137.0,22.4,680.2
12,0.112,0.0,0.2,Low,14.72,1008,93,3.83,100,5,187.0,9.0,178.0,16.3,766.9
13,0.041,0.0,0.212,Low,15.78,1008,93,4.12,100,5,220.0,22.0,198.0,38.8,786.7
14,0.118,0.0,0.132,None,14.7,1007,92,4.08,100,5,138.0,3.0,135.0,5.6,738.0
15,0.191,0.0,0.067,None,15.13,1006,90,5.75,100,5,77.0,1.0,76.0,2.2,624.2
16,0.232,0.0,0.027,None,14.06,1005,92,5.27,100,1,26.0,0.0,26.0,0.0,453.0
17,0.239,0.0,0.013,None,13.54,1003,93,5.03,100,1,10.0,0.0,10.0,0.0,236.2
18,0.546,0.0,0.0,None,13.48,1002,93,5.7,100,1,1.0,0.0,1.0,0.0,48.3
19,0.642,0.0,0.0,None,13.62,1000,93,6.89,100,0,0.0,0.0,0.0,0.0,0.0
20,0.387,0.0,0.0,None,16.26,999,93,6.77,100,0,0.0,0.0,0.0,0.0,0.0
21,0.399,0.0,0.0,None,18.94,999,93,6.94,100,0,0.0,0.0,0.0,0.0,0.0
22,0.476,0.0,0.0,None,19.46,997,93,11.1,100,1,0.0,0.0,0.0,0.0,0.0
23,1.342,0.0,0.0,None,19.48,998,93,10.02,100,1,0.0,0.0,0.0,0.0,0.0
0,0.528,0.0,0.0,None,17.9,999,93,7.25,100,1,0.0,0.0,0.0,0.0,0.0
1,0.404,0.0,0.0,None,16.81,1000,93,4.67,89,5,0.0,0.0,0.0,0.0,0.0
2,0.308,0.0,0.0,None,15.72,1002,93,3.44,97,5,0.0,0.0,0.0,0.0,0.0
3,0.308,0.0,0.0,None,15.72,1002,93,1.83,96,6,0.0,0.0,0.0,0.0,0.0
4,0.395,0.0,0.0,None,15.68,1003,93,1.45,97,6,0.0,0.0,0.0,0.0,0.0
5,0.309,0.0,0.0,None,15.68,1004,93,1.33,100,6,0.0,0.0,0.0,0.0,0.0
6,0.307,0.0,0.0,None,15.13,1005,93,1.17,100,6,0.0,0.0,0.0,0.0,0.0
7,0.31,0.0,0.0,None,15.15,1006,93,0.93,100,6,0.0,0.0,0.0,0.0,0.0
8,0.276,0.0,0.014,None,15.65,1006,93,0.52,100,6,27.0,3.0,24.0,26.3,98.9
9,0.179,0.0,0.153,Low,16.23,1007,93,1.06,93,6,75.0,2.0,73.0,8.5,327.8
10,0.246,0.0,0.312,Medium,17.85,1008,90,2.3,99,6,272.0,148.0,124.0,390.0,526.6
11,0.847,0.0,0.432,Low,17.39,1008,89,3.03,100,6,353.0,228.0,125.0,469.2,674.3
12,1.089,0.0,0.305,Low,17.43,1008,88,2.4,100,6,318.0,137.0,181.0,249.8,760.9
13,1.024,0.0,0.372,Low,18.52,1008,84,3.78,97,6,245.0,57.0,188.0,101.3,780.5
14,1.221,0.0,0.339,Low,19.01,1008,81,2.91,100,6,259.0,52.0,207.0,98.6,731.8
15,0.777,0.0,0.147,None,18.43,1007,82,2.85,99,6,125.0,1.0,124.0,2.2,618.1
16,0.687,0.0,0.108,None,17.91,1008,85,3.02,99,5,67.0,0.0,67.0,0.0,447.0
17,0.818,0.0,0.071,None,17.89,1008,86,3.1,95,5,40.0,0.0,40.0,0.0,230.3
18,0.842,0.0,0.01,None,17.31,1008,87,2.72,80,4,7.0,1.0,6.0,13.2,45.4
19,0.848,0.0,0.0,None,16.8,1008,90,2.47,92,6,0.0,0.0,0.0,0.0,0.0
20,0.619,0.0,0.0,None,16.8,1008,90,2.62,95,6,0.0,0.0,0.0,0.0,0.0
21,0.604,0.0,0.0,None,16.87,1008,91,3.02,100,6,0.0,0.0,0.0,0.0,0.0
22,0.711,0.0,0.0,None,16.87,1008,90,4.82,97,5,0.0,0.0,0.0,0.0,0.0
23,0.694,0.0,0.0,None,16.8,1007,89,4.0,94,5,0.0,0.0,0.0,0.0,0.0
0,0.721,0.0,0.0,None,16.37,1007,93,4.1,100,5,0.0,0.0,0.0,0.0,0.0
1,1.18,0.0,0.0,None,17.92,1007,93,5.18,100,1,0.0,0.0,0.0,0.0,0.0
2,0.493,0.0,0.0,None,18.41,1008,93,5.92,99,1,0.0,0.0,0.0,0.0,0.0
3,0.493,0.0,0.0,None,18.41,1008,93,5.04,95,1,0.0,0.0,0.0,0.0,0.0
4,0.457,0.0,0.0,None,18.41,1008,93,4.67,100,5,0.0,0.0,0.0,0.0,0.0
5,0.457,0.0,0.0,None,18.49,1008,93,5.27,100,1,0.0,0.0,0.0,0.0,0.0
6,0.458,0.0,0.0,None,19.03,1008,93,5.64,100,0,0.0,0.0,0.0,0.0,0.0
7,0.45,0.0,0.002,None,18.99,1008,93,6.42,100,1,0.0,0.0,0.0,0.0,0.0
8,0.657,0.0,0.006,None,19.43,1009,93,5.71,100,1,4.0,0.0,4.0,0.0,96.2
9,0.666,0.0,0.036,None,18.98,1010,93,4.44,100,1,6.0,0.0,6.0,0.0,322.3
10,0.646,0.0,0.096,None,18.93,1010,93,4.37,100,1,76.0,4.0,72.0,10.7,520.8
11,0.791,0.0,0.175,None,18.93,1011,93,3.4,98,5,97.0,0.0,97.0,0.0,668.4
12,1.888,0.0,0.222,None,17.85,1011,93,3.16,100,5,114.0,0.0,114.0,0.0,754.9
13,0.823,0.0,0.159,None,16.88,1012,93,3.27,96,5,83.0,3.0,80.0,5.4,774.5
14,1.59,0.0,0.074,None,16.82,1012,93,3.81,97,5,45.0,0.0,45.0,0.0,725.7
15,1.094,0.0,0.047,None,16.82,1012,93,4.11,94,5,50.0,0.0,50.0,0.0,612.0
16,0.447,0.0,0.011,None,16.8,1012,93,3.87,100,5,32.0,0.0,32.0,0.0,441.1
17,0.51,0.0,0.0,None,16.8,1011,93,2.66,100,5,14.0,0.0,14.0,0.0,224.6
18,0.536,0.0,0.0,None,15.69,1012,93,2.36,100,1,1.0,0.0,1.0,0.0,42.6
19,0.614,0.0,0.0,None,15.67,1012,93,2.31,100,1,0.0,0.0,0.0,0.0,0.0
20,0.701,0.0,0.0,None,15.17,1012,93,1.36,100,1,0.0,0.0,0.0,0.0,0.0
21,1.414,0.0,0.0,None,15.15,1012,93,1.48,100,1,0.0,0.0,0.0,0.0,0.0
22,0.8,0.0,0.0,None,15.68,1013,93,2.42,100,5,0.0,0.0,0.0,0.0,0.0
23,0.71,0.0,0.0,None,15.67,1014,94,3.26,100,5,0.0,0.0,0.0,0.0,0.0
0,0.891,0.0,0.0,None,14.59,1014,94,2.86,88,5,0.0,0.0,0.0,0.0,0.0
1,0.64,0.0,0.0,None,14.04,1014,94,2.56,98,5,0.0,0.0,0.0,0.0,0.0
2,0.558,0.0,0.0,None,14.0,1014,94,2.22,40,3,0.0,0.0,0.0,0.0,0.0
3,0.547,0.0,0.0,None,13.49,1015,94,1.57,44,3,0.0,0.0,0.0,0.0,0.0
4,0.55,0.0,0.0,None,13.48,1015,94,1.33,36,3,0.0,0.0,0.0,0.0,0.0
5,0.575,0.0,0.0,None,12.41,1015,94,1.32,28,3,0.0,0.0,0.0,0.0,0.0
6,0.642,0.0,0.0,None,11.82,1016,94,0.79,53,4,0.0,0.0,0.0,0.0,0.0
7,0.545,0.0,0.088,None,11.78,1016,94,0.43,65,4,0.0,0.0,0.0,0.0,0.0
8,0.296,0.0,0.271,Low,11.79,1017,94,0.09,64,4,37.0,20.0,17.0,181.7,93.5
9,0.314,0.0,0.196,None,13.05,1018,94,0.25,62,4,179.0,117.0,62.0,512.8,316.9
10,0.109,0.0,0.439,Medium,14.18,1018,92,0.32,69,5,322.0,234.0,88.0,630.9,515.2
11,0.026,0.0,0.524,High,13.81,1018,88,1.84,74,5,341.0,216.0,125.0,452.8,662.6
12,0.325,0.0,0.327,Medium,15.24,1018,81,2.61,63,4,416.0,289.0,127.0,536.0,748.9
13,0.078,0.0,0.441,High,16.93,1018,70,2.89,75,4,382.0,223.0,159.0,403.1,768.5
14,0.307,0.0,0.235,Low,16.86,1017,65,2.95,64,4,355.0,203.0,152.0,391.8,719.8
15,0.452,0.0,0.134,None,15.82,1017,66,3.04,51,4,322.0,207.0,115.0,474.4,606.1
16,0.509,0.0,0.049,None,15.81,1017,74,2.92,53,4,187.0,100.0,87.0,319.1,435.4
17,0.545,0.0,0.0,None,14.74,1017,79,1.85,65,4,80.0,34.0,46.0,214.9,219.0
18,0.454,0.0,0.0,None,14.2,1017,83,1.75,96,6,6.0,1.0,5.0,13.9,39.8
19,0.443,0.0,0.0,None,14.15,1018,86,1.86,99,6,0.0,0.0,0.0,0.0,0.0
20,0.92,0.0,0.0,None,13.65,1018,89,1.85,96,6,0.0,0.0,0.0,0.0,0.0
21,0.539,0.0,0.0,None,13.13,1018,90,1.76,99,6,0.0,0.0,0.0,0.0,0.0
22,0.418,0.0,0.0,None,13.13,1018,90,1.63,100,6,0.0,0.0,0.0,0.0,0.0
23,0.486,0.0,0.0,None,13.08,1017,89,1.57,100,6,0.0,0.0,0.0,0.0,0.0
0,0.514,0.0,0.0,None,13.0,1017,89,1.53,100,6,0.0,0.0,0.0,0.0,0.0
1,0.544,0.0,0.0,None,13.04,1017,89,1.66,100,6,0.0,0.0,0.0,0.0,0.0
2,0.268,0.0,0.0,None,12.52,1016,92,1.62,100,6,0.0,0.0,0.0,0.0,0.0
3,0.254,0.0,0.0,None,12.39,1015,93,1.79,99,6,0.0,0.0,0.0,0.0,0.0
4,0.253,0.0,0.0,None,12.4,1015,93,2.39,99,5,0.0,0.0,0.0,0.0,0.0
5,0.254,0.0,0.0,None,12.93,1015,93,3.07,100,5,0.0,0.0,0.0,0.0,0.0
6,0.253,0.0,0.0,None,12.93,1015,93,4.0,98,5,0.0,0.0,0.0,0.0,0.0
7,0.276,0.0,0.01,None,12.93,1014,93,3.84,98,5,0.0,0.0,0.0,0.0,0.0
8,0.412,0.0,0.088,None,12.93,1014,94,3.57,96,5,5.0,0.0,5.0,0.0,90.7
9,0.312,0.0,0.214,Low,13.55,1014,94,3.83,99,5,27.0,0.0,27.0,0.0,311.4
10,0.53,0.0,0.146,None,13.65,1014,93,4.69,88,5,128.0,46.0,82.0,125.5,509.5
11,0.121,0.0,0.256,Medium,14.16,1014,93,4.64,84,5,95.0,7.0,88.0,14.8,656.8
12,0.194,0.0,0.289,Medium,14.19,1013,94,5.22,72,1,134.0,0.0,134.0,0.0,743.1
13,0.177,0.0,0.242,Low,14.08,1012,94,5.61,78,1,206.0,26.0,180.0,47.4,762.5
14,0.136,0.0,0.176,Low,14.1,1011,93,5.19,97,1,264.0,127.0,137.0,247.2,713.9
15,0.299,0.0,0.164,Low,14.67,1011,93,4.5,100,1,203.0,85.0,118.0,196.8,600.4
16,0.508,0.0,0.068,None,14.12,1010,93,3.95,98,5,178.0,83.0,95.0,268.4,429.7
17,0.457,0.0,0.001,None,13.01,1010,91,3.86,97,5,40.0,11.0,29.0,70.5,213.6
18,0.966,0.0,0.0,None,12.38,1011,92,4.12,97,5,2.0,0.0,2.0,0.0,37.1
19,1.137,0.0,0.0,None,11.93,1011,93,3.46,82,5,0.0,0.0,0.0,0.0,0.0
20,0.77,0.0,0.0,None,11.82,1012,93,2.59,50,5,0.0,0.0,0.0,0.0,0.0
21,0.453,0.0,0.0,None,11.28,1012,93,1.81,40,3,0.0,0.0,0.0,0.0,0.0
22,0.395,0.0,0.0,None,10.71,1012,93,1.92,49,3,0.0,0.0,0.0,0.0,0.0
23,0.393,0.0,0.0,None,9.71,1012,92,1.86,57,4,0.0,0.0,0.0,0.0,0.0
0,0.248,0.0,0.0,None,9.17,1012,91,1.34,66,4,0.0,0.0,0.0,0.0,0.0
1,0.247,0.0,0.0,None,8.54,1012,92,0.98,45,3,0.0,0.0,0.0,0.0,0.0
2,0.249,0.0,0.0,None,8.54,1012,93,0.79,40,3,0.0,0.0,0.0,0.0,0.0
3,0.26,0.0,0.0,None,8.02,1012,94,1.42,28,3,0.0,0.0,0.0,0.0,0.0
4,0.258,0.0,0.0,None,8.0,1012,94,2.06,30,3,0.0,0.0,0.0,0.0,0.0
5,0.258,0.0,0.0,None,7.95,1012,94,1.81,33,3,0.0,0.0,0.0,0.0,0.0
6,0.341,0.0,0.0,None,7.36,1013,94,1.0,21,2,0.0,0.0,0.0,0.0,0.0
7,0.62,0.0,0.013,None,7.48,1013,94,0.53,17,2,0.0,0.0,0.0,0.0,0.0
8,0.608,0.0,0.123,None,7.46,1014,94,0.54,36,3,29.0,11.0,18.0,103.6,88.0
9,0.014,0.0,0.241,Medium,9.69,1015,93,1.1,64,4,156.0,93.0,63.0,422.5,306.0
10,0.0,0.0,0.264,High,10.81,1015,88,1.37,61,4,281.0,184.0,97.0,507.6,503.9
11,0.0,0.0,0.27,Very High,11.43,1015,86,2.19,91,6,343.0,212.0,131.0,452.8,651.0
12,0.033,0.0,0.33,Very High,12.98,1015,80,3.24,99,6,382.0,220.0,162.0,414.9,737.3
13,0.009,0.0,0.399,Very High,12.99,1014,76,3.66,100,6,440.0,305.0,135.0,560.4,756.7
14,0.103,0.0,0.294,Medium,13.05,1014,75,3.58,87,6,427.0,319.0,108.0,626.4,708.1
15,0.075,0.0,0.173,Medium,12.53,1014,79,3.72,47,3,348.0,238.0,110.0,556.5,594.7
16,0.209,0.0,0.037,None,13.5,1014,74,3.35,44,3,228.0,157.0,71.0,514.6,424.2
17,0.255,0.0,0.0,None,10.92,1014,85,2.2,32,3,100.0,59.0,41.0,383.0,208.3
18,0.403,0.0,0.0,None,10.3,1015,86,2.28,32,3,5.0,2.0,3.0,29.3,34.5
19,0.506,0.0,0.0,None,10.24,1015,85,2.11,33,3,0.0,0.0,0.0,0.0,0.0
20,0.324,0.0,0.0,None,9.16,1016,89,1.81,28,3,0.0,0.0,0.0,0.0,0.0
21,0.459,0.0,0.0,None,9.08,1016,88,1.55,18,2,0.0,0.0,0.0,0.0,0.0
22,0.51,0.0,0.0,None,8.55,1016,90,1.05,15,2,0.0,0.0,0.0,0.0,0.0
23,0.366,0.0,0.0,None,8.03,1016,91,1.25,26,3,0.0,0.0,0.0,0.0,0.0
0,0.27,0.0,0.0,None,7.96,1016,91,0.77,54,4,0.0,0.0,0.0,0.0,0.0
1,0.255,0.0,0.0,None,7.87,1016,92,0.66,78,4,0.0,0.0,0.0,0.0,0.0
2,0.255,0.0,0.0,None,7.35,1016,92,0.9,72,4,0.0,0.0,0.0,0.0,0.0
3,0.252,0.0,0.0,None,7.82,1016,91,1.5,53,4,0.0,0.0,0.0,0.0,0.0
4,0.239,0.0,0.0,None,6.81,1016,91,1.81,50,3,0.0,0.0,0.0,0.0,0.0
5,0.319,0.0,0.0,None,6.77,1016,92,2.03,49,3,0.0,0.0,0.0,0.0,0.0
6,0.307,0.0,0.0,None,6.77,1017,91,2.11,36,3,0.0,0.0,0.0,0.0,0.0
7,0.814,0.0,0.064,None,6.72,1018,91,2.12,2,7,0.0,0.0,0.0,0.0,0.0
8,0.024,0.0,0.291,Medium,8.3,1018,87,2.26,1,7,31.0,16.0,15.0,153.6,85.3
9,0.0,0.0,0.278,High,10.01,1019,81,1.9,2,7,175.0,121.0,54.0,559.9,300.6
10,0.0,0.0,0.279,Very High,11.67,1020,75,2.25,1,7,335.0,267.0,68.0,745.2,498.4
11,0.0,0.0,0.286,Very High,12.94,1020,73,2.75,0,7,459.0,384.0,75.0,827.7,645.4
12,0.001,0.0,0.281,Very High,13.5,1020,71,2.95,1,7,533.0,457.0,76.0,869.1,731.5
13,0.001,0.0,0.276,High,14.59,1020,61,3.71,23,2,541.0,454.0,87.0,841.0,751.0
14,0.01,0.0,0.26,High,14.68,1020,58,4.22,31,3,453.0,340.0,113.0,673.4,702.4
15,0.267,0.0,0.225,Medium,14.62,1020,55,4.17,31,3,336.0,232.0,104.0,547.8,589.2
16,0.556,0.0,0.115,None,14.07,1020,63,3.73,19,2,246.0,179.0,67.0,594.5,418.9
17,0.628,0.0,0.005,None,12.97,1021,71,2.94,4,7,100.0,61.0,39.0,401.3,203.2
18,0.509,0.0,0.0,None,11.86,1021,73,3.25,0,7,5.0,1.0,4.0,15.1,32.0
19,1.11,0.0,0.0,None,10.71,1022,75,3.27,0,7,0.0,0.0,0.0,0.0,0.0
20,0.831,0.0,0.0,None,10.68,1023,73,3.44,0,7,0.0,0.0,0.0,0.0,0.0
21,0.537,0.0,0.0,None,9.6,1023,76,3.41,0,7,0.0,0.0,0.0,0.0,0.0
22,0.591,0.0,0.0,None,10.13,1024,75,3.2,0,7,0.0,0.0,0.0,0.0,0.0
23,0.334,0.0,0.0,None,9.56,1024,77,2.99,0,7,0.0,0.0,0.0,0.0,0.0
0,0.313,0.0,0.0,None,8.96,1024,76,2.61,0,7,0.0,0.0,0.0,0.0,0.0
1,0.26,0.0,0.0,None,8.38,1024,80,2.62,0,7,0.0,0.0,0.0,0.0,0.0
2,0.247,0.0,0.0,None,7.93,1025,82,2.55,0,7,0.0,0.0,0.0,0.0,0.0
3,0.247,0.0,0.0,None,8.31,1025,80,2.55,0,7,0.0,0.0,0.0,0.0,0.0
4,0.26,0.0,0.0,None,7.85,1025,80,2.63,0,7,0.0,0.0,0.0,0.0,0.0
5,0.257,0.0,0.0,None,7.27,1025,81,2.46,0,7,0.0,0.0,0.0,0.0,0.0
6,0.256,0.0,0.0,None,8.32,1026,78,2.26,0,7,0.0,0.0,0.0,0.0,0.0
7,0.635,0.0,0.061,None,8.21,1026,77,2.06,0,7,0.0,0.0,0.0,0.0,0.0
8,0.18,0.0,0.329,Medium,8.8,1027,74,2.32,0,7,30.0,16.0,14.0,156.5,82.6
9,0.317,0.0,0.452,High,11.59,1028,66,2.57,0,7,174.0,125.0,49.0,589.2,295.2
10,0.121,0.0,0.405,High,11.72,1028,72,3.09,0,7,328.0,262.0,66.0,739.9,492.8
11,0.137,0.0,0.533,High,13.43,1028,64,2.96,1,7,450.0,376.0,74.0,818.1,639.7
12,0.014,0.0,0.305,Very High,14.55,1028,63,2.98,2,7,521.0,442.0,79.0,847.6,725.8
13,0.0,0.0,0.274,Very High,15.75,1027,59,3.06,1,7,534.0,454.0,80.0,847.9,745.3
14,0.002,0.0,0.263,High,15.71,1027,55,3.4,16,2,419.0,289.0,130.0,577.3,696.8
15,0.0,0.0,0.255,Medium,15.2,1026,55,3.91,60,4,366.0,271.0,95.0,646.2,583.7
16,0.179,0.0,0.079,Low,14.63,1026,59,3.23,39,3,248.0,181.0,67.0,609.1,413.6
17,0.252,0.0,0.0,None,13.6,1026,61,3.0,13,2,95.0,55.0,40.0,366.6,198.1
18,0.31,0.0,0.0,None,12.89,1027,64,3.61,9,7,4.0,1.0,3.0,15.5,29.5
19,0.328,0.0,0.0,None,11.59,1027,72,3.67,6,7,0.0,0.0,0.0,0.0,0.0
20,0.883,0.0,0.0,None,11.14,1028,76,3.53,0,7,0.0,0.0,0.0,0.0,0.0
21,1.36,0.0,0.0,None,10.04,1028,79,3.3,0,7,0.0,0.0,0.0,0.0,0.0
22,0.0,0.342,0.0,None,10.63,1028,71,2.98,0,7,0.0,0.0,0.0,0.0,0.0
23,0.0,0.318,0.0,None,8.68,1029,81,2.76,0,7,0.0,0.0,0.0,0.0,0.0
0,0.0,0.263,0.0,None,9.57,1028,77,2.48,2,7,0.0,0.0,0.0,0.0,0.0
1,0.0,0.241,0.0,None,9.57,1029,78,2.21,0,7,0.0,0.0,0.0,0.0,0.0
2,0.0,0.239,0.0,None,8.97,1029,79,2.2,0,7,0.0,0.0,0.0,0.0,0.0
3,0.0,0.252,0.0,None,8.91,1029,78,2.14,0,7,0.0,0.0,0.0,0.0,0.0
4,0.0,0.365,0.0,None,9.35,1029,76,2.2,0,7,0.0,0.0,0.0,0.0,0.0
5,0.0,0.256,0.0,None,8.9,1029,77,2.23,0,7,0.0,0.0,0.0,0.0,0.0
6,0.0,0.254,0.0,None,8.76,1030,77,2.26,0,7,0.0,0.0,0.0,0.0,0.0
7,0.0,0.186,0.058,Low,8.24,1030,77,2.42,0,7,0.0,0.0,0.0,0.0,0.0
8,0.001,0.0,0.25,Medium,9.02,1030,78,3.09,1,7,28.0,15.0,13.0,149.6,79.9
9,0.0,0.0,0.255,High,10.13,1031,73,2.47,1,7,170.0,120.0,50.0,576.5,289.8
10,0.0,0.0,0.293,Very High,11.82,1031,66,1.68,0,7,327.0,260.0,67.0,743.0,487.2
11,0.011,0.0,0.297,Very High,12.37,1031,60,1.67,0,7,452.0,378.0,74.0,830.2,634.0
12,0.44,0.0,0.738,High,13.5,1031,55,1.44,0,7,526.0,448.0,78.0,866.4,720.1
13,0.209,0.0,0.445,High,14.6,1030,49,1.16,0,7,540.0,462.0,78.0,869.9,739.6
14,0.001,0.0,0.359,High,15.16,1030,46,1.22,0,7,498.0,422.0,76.0,850.1,691.2
15,0.61,0.0,0.371,Medium,15.11,1029,46,1.16,6,7,401.0,330.0,71.0,794.7,578.3
16,1.33,0.0,0.072,None,15.09,1029,47,0.58,60,4,260.0,201.0,59.0,685.4,408.4
17,0.399,0.0,0.001,None,14.01,1028,52,1.34,83,4,101.0,65.0,36.0,438.9,193.2
18,0.485,0.0,0.0,None,12.86,1029,60,2.0,64,4,4.0,1.0,3.0,15.9,27.1
19,0.589,0.0,0.0,None,11.8,1029,58,1.76,10,7,0.0,0.0,0.0,0.0,0.0
20,0.733,0.0,0.0,None,9.74,1030,83,1.8,2,7,0.0,0.0,0.0,0.0,0.0
21,0.338,0.0,0.0,None,9.2,1030,87,2.15,29,3,0.0,0.0,0.0,0.0,0.0
22,0.0,0.346,0.0,None,9.25,1030,89,2.18,21,2,0.0,0.0,0.0,0.0,0.0
23,0.0,0.458,0.0,None,8.54,1030,91,1.83,53,4,0.0,0.0,0.0,0.0,0.0
0,0.0,0.321,0.0,None,8.2,1029,92,1.88,0,7,0.0,0.0,0.0,0.0,0.0
1,0.0,0.317,0.0,None,7.21,1029,92,1.96,0,7,0.0,0.0,0.0,0.0,0.0
2,0.0,0.33,0.0,None,7.6,1028,89,1.96,0,7,0.0,0.0,0.0,0.0,0.0
3,0.0,0.302,0.0,None,6.32,1028,89,2.03,0,7,0.0,0.0,0.0,0.0,0.0
4,0.0,0.276,0.0,None,6.08,1028,91,2.0,0,7,0.0,0.0,0.0,0.0,0.0
5,0.0,0.264,0.0,None,5.51,1028,92,1.99,0,7,0.0,0.0,0.0,0.0,0.0
6,0.0,0.251,0.0,None,4.51,1028,92,2.04,0,7,0.0,0.0,0.0,0.0,0.0
7,0.0,0.21,0.046,Low,5.54,1028,93,2.13,0,7,0.0,0.0,0.0,0.0,0.0
8,0.001,0.0,0.308,Medium,9.44,1028,69,2.49,0,7,27.0,14.0,13.0,142.4,77.2
9,0.0,0.0,0.254,High,12.29,1028,64,2.01,0,7,167.0,120.0,47.0,587.8,284.4
10,0.017,0.0,0.31,High,12.38,1028,65,1.3,0,7,322.0,258.0,64.0,746.2,481.7
11,0.07,0.0,0.265,Medium,15.1,1028,58,1.36,0,7,444.0,372.0,72.0,824.8,628.3
12,1.305,0.0,0.954,Medium,16.2,1027,52,1.76,0,7,518.0,442.0,76.0,862.0,714.4
13,0.763,0.0,0.685,Medium,16.76,1026,55,1.58,0,7,534.0,457.0,77.0,867.5,734.0
14,0.012,0.0,0.368,High,17.74,1025,52,1.08,0,7,491.0,417.0,74.0,847.3,685.7
15,0.016,0.0,0.301,Medium,16.71,1025,54,1.09,2,7,395.0,326.0,69.0,792.8,572.9
16,0.341,0.0,0.061,None,16.65,1024,56,1.23,48,3,254.0,196.0,58.0,677.2,403.3
17,0.801,0.0,0.0,None,15.52,1025,60,1.54,86,6,97.0,62.0,35.0,424.1,188.3
18,0.804,0.0,0.0,None,14.35,1025,66,1.68,94,6,3.0,1.0,2.0,16.3,24.7
19,1.649,0.0,0.0,None,13.81,1025,68,1.68,76,4,0.0,0.0,0.0,0.0,0.0
20,0.859,0.0,0.0,None,10.65,1025,80,1.74,76,4,0.0,0.0,0.0,0.0,0.0
21,0.472,0.0,0.0,None,11.05,1025,86,1.63,58,4,0.0,0.0,0.0,0.0,0.0
22,0.0,0.435,0.0,None,12.68,1025,65,1.72,100,6,0.0,0.0,0.0,0.0,0.0
23,0.0,0.388,0.0,None,11.45,1025,85,1.61,99,6,0.0,0.0,0.0,0.0,0.0
0,0.0,0.382,0.0,None,11.7,1025,83,1.71,99,6,0.0,0.0,0.0,0.0,0.0
1,0.0,0.396,0.0,None,12.26,1024,68,1.87,88,6,0.0,0.0,0.0,0.0,0.0
2,0.0,0.383,0.0,None,12.68,1024,64,1.96,85,6,0.0,0.0,0.0,0.0,0.0
3,0.0,0.387,0.0,None,10.03,1024,86,2.23,65,4,0.0,0.0,0.0,0.0,0.0
4,0.0,0.285,0.0,None,10.03,1023,87,2.11,26,3,0.0,0.0,0.0,0.0,0.0
5,0.0,0.272,0.0,None,11.73,1023,68,1.93,60,4,0.0,0.0,0.0,0.0,0.0
6,0.0,0.255,0.0,None,12.31,1023,68,1.75,48,3,0.0,0.0,0.0,0.0,0.0
7,0.0,0.977,0.014,None,12.14,1023,67,1.85,75,4,0.0,0.0,0.0,0.0,0.0
8,0.647,0.0,0.101,None,11.78,1023,71,2.06,87,6,17.0,2.0,15.0,20.8,74.4
9,0.065,0.0,0.297,Medium,13.4,1023,65,2.1,76,4,123.0,57.0,66.0,284.8,279.0
10,0.0,0.0,0.287,Medium,12.92,1024,71,1.25,56,4,256.0,146.0,110.0,427.4,476.1
11,0.0,0.0,0.281,Very High,16.22,1023,67,0.76,15,2,416.0,338.0,78.0,756.6,622.7
12,0.0,0.0,0.274,Very High,16.75,1023,61,0.3,13,2,491.0,415.0,76.0,816.2,708.7
13,0.0,0.0,0.259,High,18.34,1022,60,0.63,8,7,511.0,436.0,75.0,834.4,728.3
14,0.0,0.0,0.258,High,18.95,1022,60,1.09,42,3,470.0,395.0,75.0,809.4,680.2
15,0.0,0.0,0.266,Medium,18.89,1021,61,1.58,63,4,358.0,274.0,84.0,672.8,567.7
16,0.211,0.0,0.058,None,18.31,1021,60,1.37,44,3,244.0,188.0,56.0,658.0,398.3
17,0.296,0.0,0.0,None,17.73,1021,63,1.58,18,2,90.0,56.0,34.0,388.0,183.6
18,0.413,0.0,0.0,None,16.21,1021,68,1.87,21,2,3.0,1.0,2.0,16.8,22.3
19,0.689,0.0,0.0,None,15.64,1021,69,1.53,18,2,0.0,0.0,0.0,0.0,0.0
20,0.864,0.0,0.0,None,15.6,1021,71,1.68,16,2,0.0,0.0,0.0,0.0,0.0
21,0.656,0.0,0.0,None,14.86,1021,73,1.94,13,2,0.0,0.0,0.0,0.0,0.0
